eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.87,0.77,2122,0.00046923905,0.0,2.707553,-0.00049023924,0.3245736,0.70427877,0.01702648401260376,1,256,15.435473273973912,32768
75.02,0.79,2742,0.0011019859,0.0009460449,2.7041657,-0.00080402003,0.08179087,0.21927308,0.015965759754180908,2,512,27.456988085992634,65536
83.13,0.92,3022,0.0031586068,0.013793945,2.6888955,-0.001235322,0.06020717,0.17666286,0.045855581760406494,3,768,38.29726803698577,98304
90.2,1.33,2861,0.0032862064,0.021525064,2.6720207,-0.0021134822,0.07474651,0.2071604,0.04380321502685547,4,1024,49.74824240495218,131072
93.33,1.32,3049,0.0028141837,0.016540527,2.6592438,-0.001258911,0.06932873,0.19436014,0.05288577079772949,5,1280,60.49334990297211,163840
84.67,1.38,2924,0.0038679587,0.020599365,2.6332595,-0.0017823278,0.074897796,0.20602542,0.07911217212677002,6,1536,71.75468906195601,196608
84.35,1.24,3017,0.00215151,0.010528564,2.6317718,-0.0012067629,0.07413438,0.20331772,0.0654873251914978,7,1792,82.61600241495762,229376
86.83,1.15,2912,0.0027669717,0.011576335,2.620412,-0.0016815575,0.057381704,0.17053473,0.14763551950454712,8,2048,93.86625117599033,262144
87.48,1.34,2985,0.0031718428,0.018513998,2.6026747,-0.0015963753,0.073072694,0.20139164,0.15350860357284546,9,2304,104.84178613894619,294912
95.96,1.51,3008,0.0025229808,0.009897868,2.616388,-0.0010360242,0.056066778,0.16653335,0.19844478368759155,10,2560,115.73368447297253,327680
93.59,1.66,2924,0.003704189,0.025268555,2.5951974,-0.0022175005,0.067186005,0.19071096,0.21097630262374878,11,2816,126.9801757929963,360448
91.24,1.4,2966,0.0049954937,0.030904135,2.5531523,-0.0018084081,0.081569985,0.21781981,0.20645910501480103,12,3072,138.02694337099092,393216
87.22,1.39,2942,0.0039419895,0.024637857,2.5266414,-0.0024786303,0.060249355,0.17598878,0.19979214668273926,13,3328,149.16335976996925,425984
92.48,1.71,2980,0.0033484995,0.023000082,2.5017579,-0.0016410034,0.068357505,0.19003218,0.22818642854690552,14,3584,160.1563973929733,458752
89.8,1.31,2990,0.00426089,0.036631268,2.5067437,-0.0015451908,0.071671,0.19656725,0.21025806665420532,15,3840,171.1154205609928,491520
94.27,1.47,3027,0.0033836036,0.018534342,2.4710433,-0.0017009483,0.07568791,0.20419858,0.24382519721984863,16,4096,181.9854347719811,524288
97.92,1.97,2803,0.0037875269,0.024637857,2.4681628,-0.0027399312,0.069880165,0.19460343,0.2637283205986023,17,4352,193.6752749820007,557056
85.42,1.53,2994,0.0037594,0.032592773,2.4408839,-0.003030943,0.0806636,0.21620679,0.255892813205719,18,4608,204.61711539694807,589824
97.27,1.74,2883,0.0047926707,0.03789266,2.447553,-0.0017000875,0.07572262,0.20379649,0.2337038516998291,19,4864,215.9830836079782,622592
92.99,1.52,2956,0.00480835,0.038686115,2.4470472,-0.002219289,0.07358825,0.20055605,0.25817251205444336,20,5120,227.06530402996577,655360
88.04,1.39,2971,0.0039302437,0.032196045,2.4122717,-0.0017467594,0.09374615,0.23923124,0.2991231679916382,21,5376,238.14028726395918,688128
91.18,1.67,2859,0.0048570014,0.040100098,2.388472,-0.0024787209,0.068359055,0.18944497,0.3532875180244446,22,5632,249.59898506000172,720896
95.97,1.79,3025,0.004030511,0.035705566,2.3853104,-0.0022567639,0.076996535,0.20621277,0.37059348821640015,23,5888,260.43157825199887,753664
104.77,1.94,2960,0.004486743,0.037190754,2.3576064,-0.0029769058,0.074531496,0.2021689,0.37106066942214966,24,6144,271.4999099939596,786432
99.54,2.11,3021,0.004241178,0.030446371,2.349837,-0.0025843366,0.08166198,0.21548934,0.3794923424720764,25,6400,282.3458796579507,819200
87.67,1.62,2767,0.0046891784,0.043467205,2.338132,-0.0013646297,0.07792596,0.20534384,0.407295823097229,26,6656,294.225642905978,851968
101.07,1.82,3025,0.004581368,0.038431805,2.3099253,-0.0020603666,0.08170902,0.2137373,0.3965170979499817,27,6912,305.05518327996833,884736
100.11,1.8,2899,0.004161843,0.033925373,2.3017788,-0.0022453826,0.081003934,0.2125342,0.4004294276237488,28,7168,316.35825006494997,917504
