eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.04,1.05,148,0.00022635078,0.0,2.7078507,-0.00048740188,0.3107762,0.6766842,-0.007510066032409668,1,256,220.73197031021118,32768
81.91,0.69,3029,0.0002770131,0.0,2.7065485,-0.00051325717,0.03878113,0.13271974,0.05299651622772217,2,512,264.05213978141546,65536
78.06,1.02,2676,0.0025507777,0.0113932295,2.6991208,-0.001740699,0.061190087,0.179844,0.032459139823913574,3,768,276.29515228420496,98304
86.74,0.98,3074,0.003608023,0.0174764,2.6752903,-0.0022345094,0.046832353,0.15163954,0.03942131996154785,4,1024,286.95436472445726,131072
82.96,1.27,2635,0.0036675287,0.020741781,2.6551235,-0.0020066022,0.075668685,0.20845307,0.03720194101333618,5,1280,299.3901398330927,163840
87.53,1.21,2587,0.0018818675,0.0041910806,2.6424286,-0.0010012893,0.07568281,0.20621675,0.037516653537750244,6,1536,312.12209786474705,196608
92.9,1.24,2596,0.0049526915,0.026123047,2.6113558,-0.002342897,0.054620054,0.16615301,0.05531984567642212,7,1792,324.7446723729372,229376
83.84,1.52,2616,0.0020462514,0.010823567,2.6039405,-0.0013218774,0.07766702,0.2100566,0.05885016918182373,8,2048,337.2682607471943,262144
91.32,1.39,2592,0.002978498,0.01716105,2.584172,-0.001999238,0.054414522,0.16451097,0.08589822053909302,9,2304,349.9096669331193,294912
91.79,1.56,2617,0.002531528,0.012156169,2.5865042,-0.0015646681,0.051889364,0.15863816,0.11797022819519043,10,2560,362.4300653412938,327680
88.66,1.47,2601,0.0036604481,0.018920898,2.5634325,-0.00226071,0.050886314,0.15756269,0.13699769973754883,11,2816,375.0788212567568,360448
89.13,1.36,2768,0.0018454725,0.009043376,2.5694878,-0.0013824002,0.058857575,0.17186974,0.18319791555404663,12,3072,386.9150775372982,393216
93.21,1.56,2822,0.0034347018,0.020182291,2.5466325,-0.0023818635,0.060124144,0.17594469,0.15670305490493774,13,3328,398.52577293664217,425984
93.85,1.48,2829,0.0024437048,0.012084961,2.5553226,-0.0021095367,0.06603142,0.18738836,0.1921423077583313,14,3584,410.10764437168837,458752
88.91,1.45,2873,0.0034301057,0.019632975,2.5178776,-0.002901311,0.06218177,0.18052374,0.18914282321929932,15,3840,421.51119197160006,491520
