eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/total_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
144.47826086956522,1.7391304,1820,0.00035195603,0.0,2.7077284,-0.00052914704,0.019864464,0.094941795,-0.03158438205718994,1,256,18.00314638018608,32768
265.50877192982455,3.508772,2460,0.00025351642,0.0,2.7060595,-0.00021173358,0.08460552,0.22375567,0.002086818218231201,2,512,31.527319453656673,65536
374.86,4.4,2460,0.0017127478,0.0036315918,2.7001345,-0.0008335255,0.12459237,0.3048545,0.05823701620101929,3,768,44.8446988761425,98304
570.43,4.2,2423,0.004416865,0.025604248,2.6739302,-0.003002393,0.30446774,0.6684189,0.10608220100402832,4,1024,58.36782315373421,131072
229.84,3.7,2420,0.004446971,0.023813883,2.6448252,-0.0021107907,0.32342193,0.703962,0.16726696491241455,5,1280,71.90459756553173,163840
167.49,3.9,2404,0.0044850246,0.03571574,2.6173265,-0.0035851467,0.43865824,0.93683344,0.2285650372505188,6,1536,85.57650788128376,196608
122.93,3.8,2450,0.0025950822,0.013183594,2.5947165,-0.0012755339,0.5795039,1.2134532,0.2904667854309082,7,1792,98.95025084167719,229376
108.49,4.9,2446,0.0063890493,0.056803387,2.539882,-0.0041488945,0.70336694,1.4658293,0.3755607008934021,8,2048,112.34526439756155,262144
90.68,4.1,2426,0.0039208187,0.034535725,2.4836063,-0.00049121195,0.8527927,1.7562399,0.41624993085861206,9,2304,125.8478091955185,294912
85.97,5.3,2474,0.004448259,0.032114666,2.4366643,-0.00022786156,0.90860814,1.8664054,0.5027094185352325,10,2560,139.09043203294277,327680
71.54,5.5,2441,0.0048557487,0.0385437,2.3571537,-0.0016871258,0.85596186,1.7624413,0.5719270706176758,11,2816,152.5692089945078,360448
75.25,4.6,2454,0.0049045994,0.03515625,2.3671997,0.00012769608,0.8141909,1.6754704,0.6024573743343353,12,3072,165.91899099200964,393216
63.1,5.4,2451,0.0055007245,0.048950195,2.279433,-0.0006558425,0.83740854,1.7217175,0.6032694578170776,13,3328,179.2878128439188,425984
64.51,4.6,2399,0.0032327985,0.016235352,2.3095863,-0.00025291665,0.8224397,1.6915771,0.5818713009357452,14,3584,192.94678108394146,458752
65.7,3.6,2449,0.0045025186,0.04389445,2.3299477,0.0026504106,1.0537227,2.1487439,0.5666075646877289,15,3840,206.32464914023876,491520
78.43,4.6,2431,0.0036431206,0.025756836,2.4207652,-0.0017449552,0.7809059,1.613717,0.5088520050048828,16,4096,219.8482452481985,524288
72.81,6.0,2462,0.008223268,0.08822632,2.4048011,0.0039505796,0.9657757,1.9717463,0.5939609110355377,17,4352,233.1546878889203,557056
63.88,4.2,2446,0.0065380665,0.063934326,2.3337066,0.0015613833,0.8582513,1.760054,0.6673860549926758,18,4608,246.54943142086267,589824
64.77,4.6,2429,0.0040037264,0.033915203,2.3113194,-0.0008295963,0.727292,1.5024695,0.7006701231002808,19,4864,260.03509345650673,622592
71.75,5.2,2407,0.0031900294,0.021433512,2.3800044,-0.00074190134,0.7370904,1.5232649,0.678003579378128,20,5120,273.6444256603718,655360
66.76,4.9,2436,0.004901785,0.045410156,2.3624656,-0.0018533864,0.62565345,1.302263,0.700134813785553,21,5376,287.13339304178953,688128
67.4,6.0,2419,0.005064377,0.049865723,2.3260875,0.0007929634,0.74004775,1.5250314,0.7171770632266998,22,5632,300.6748534962535,720896
64.42,5.4,2477,0.003261328,0.014261882,2.2646458,-0.00096016465,0.73578477,1.5187827,0.7238490283489227,23,5888,313.90327436476946,753664
60.25,4.1,2437,0.0032787174,0.022603353,2.2834077,0.00018602867,0.87524515,1.7957869,0.706719160079956,24,6144,327.3477580174804,786432
62.82,4.2,2444,0.0026173603,0.012776692,2.3230464,-0.0016693558,0.62515897,1.3001176,0.7291225492954254,25,6400,340.75403209775686,819200
71.01,5.5,2435,0.0038772847,0.032786053,2.336,-0.0011033098,0.6249311,1.2987888,0.7394937872886658,26,6656,354.2514384537935,851968
68.34,5.6,2439,0.0036855906,0.028523764,2.3395917,-0.0018668481,0.6272386,1.3050026,0.7581003755331039,27,6912,367.6823562383652,884736
